City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
73,queenstown,-31.8976,26.8753,39.96,72.0,36.0,25.95,ZA,1717451044.0
74,lazaro cardenas,17.9583,-102.2,85.66,53.0,3.0,14.58,MX,1717451171.0
75,corinto,37.9407,22.9573,80.24,55.0,1.0,2.3,GR,1717451172.0
76,hasaki,35.7333,140.8333,64.8,71.0,94.0,16.15,JP,1717451172.0
77,atherton,53.5237,-2.4935,58.35,87.0,100.0,5.3,GB,1717451173.0
78,bilasipara,26.232,90.2347,75.07,88.0,96.0,4.07,IN,1717451173.0
79,udachny,66.4167,112.4,55.45,48.0,100.0,5.35,RU,1717451174.0
80,fuvahmulah,,,,,,,,
81,olonkinbyen,70.9221,-8.7187,32.72,92.0,99.0,18.9,SJ,1717451175.0
82,nueva ocotepeque,14.4333,-89.1833,94.59,52.0,40.0,9.22,HN,1717450908.0
83,bilibino,68.0546,166.4372,52.47,38.0,78.0,10.98,RU,1717451176.0
84,meraux,29.933,-89.9498,91.99,58.0,75.0,14.97,US,1717451177.0
85,rikaze,29.25,88.8833,46.22,50.0,100.0,6.73,CN,1717451177.0
86,kapuskasing,49.4169,-82.4331,78.8,31.0,100.0,12.66,CA,1717451178.0
87,mendi,-6.1761,143.6513,58.75,98.0,100.0,0.56,PG,1717451179.0
88,'ohonua,,,,,,,,
89,puerto natales,-51.7236,-72.4875,30.47,93.0,100.0,2.1,CL,1717450967.0
90,grytviken,-54.2811,-36.5092,27.99,70.0,43.0,8.19,GS,1717451180.0
91,college,64.8569,-147.8028,65.08,42.0,100.0,0.0,US,1717451181.0
92,susuman,62.7833,148.1667,54.99,44.0,7.0,5.41,RU,1717451182.0
93,lompoc,34.6391,-120.4579,75.61,73.0,100.0,23.02,US,1717450959.0
94,shenjiamen,29.9576,122.298,68.49,86.0,100.0,6.87,CN,1717451183.0
95,zouerate,22.7187,-12.4521,83.41,21.0,24.0,12.01,MR,1717451183.0
96,ojinaga,29.5667,-104.4167,105.57,12.0,0.0,4.61,MX,1717451184.0
97,dudinka,69.4058,86.1778,19.67,95.0,27.0,3.0,RU,1717451185.0
98,san antonio del estrecho,,,,,,,,
99,utrik,11.2278,169.8474,82.74,81.0,92.0,22.41,MH,1717451186.0
100,jinka,5.65,36.65,65.16,83.0,73.0,1.83,ET,1717451186.0
101,yenotayevka,47.2456,47.0281,75.29,44.0,10.0,8.01,RU,1717451187.0
102,rongelap,11.1635,166.8941,82.22,82.0,100.0,18.16,MH,1717451188.0
103,keflavik,64.0049,-22.5624,42.71,65.0,75.0,21.85,IS,1717451188.0
104,severnoye,56.3491,78.3619,43.99,96.0,100.0,15.01,RU,1717451189.0
105,ulysses,37.5814,-101.3552,91.38,33.0,0.0,6.91,US,1717451189.0
106,fuglafjordur,62.244,-6.814,41.47,75.0,73.0,9.86,FO,1717451190.0
107,tazovsky,67.4667,78.7,24.66,96.0,100.0,11.27,RU,1717451191.0
108,enewetak,11.3474,162.3373,82.29,82.0,100.0,15.05,MH,1717451191.0
109,whitehorse,60.7161,-135.0538,54.37,66.0,75.0,16.11,CA,1717450972.0
110,qaqortoq,60.7167,-46.0333,40.46,85.0,95.0,1.92,GL,1717451193.0
111,bengkulu,-3.8004,102.2655,75.52,90.0,99.0,3.58,ID,1717451193.0
112,savanna-la-mar,18.219,-78.1332,82.35,81.0,84.0,0.49,JM,1717451194.0
113,afaahiti,-17.75,-149.2833,82.27,80.0,100.0,10.11,PF,1717451002.0
114,port alfred,-33.5906,26.891,52.18,78.0,66.0,3.0,ZA,1717450964.0
115,stanley,54.868,-1.6985,54.99,83.0,20.0,9.22,GB,1717451024.0
116,badger,64.8,-147.5333,64.99,45.0,100.0,0.0,US,1717451196.0
117,yulinshi,38.2906,109.7494,67.32,43.0,100.0,7.74,CN,1717451197.0
118,lerwick,60.1545,-1.1494,50.0,72.0,27.0,19.08,GB,1717451197.0
119,aioun,16.6614,-9.6149,97.72,14.0,0.0,7.81,MR,1717451198.0
120,port lincoln,-34.7333,135.8667,54.54,82.0,100.0,10.83,AU,1717451199.0
121,la'ie,21.6477,-157.9253,82.36,80.0,10.0,5.99,US,1717451199.0
122,malango,-2.9627,119.9001,66.52,98.0,100.0,1.83,ID,1717451200.0
123,hawaiian paradise park,19.5933,-154.9731,77.88,88.0,100.0,1.99,US,1717451200.0
124,margaret river,-33.95,115.0667,60.67,82.0,70.0,1.86,AU,1717450968.0
125,pisco,-13.7,-76.2167,66.25,68.0,0.0,18.41,PE,1717451201.0
126,port augusta,-32.5,137.7667,51.93,56.0,100.0,5.97,AU,1717451018.0
127,itaituba,-4.2761,-55.9836,87.96,70.0,20.0,3.44,BR,1717450973.0
128,bredasdorp,-34.5322,20.0403,59.09,79.0,100.0,11.83,ZA,1717451203.0
129,haiku-pauwela,20.9219,-156.3051,82.26,75.0,40.0,23.02,US,1717451204.0
130,kijang,35.2442,129.2139,55.13,65.0,86.0,11.61,KR,1717451204.0
131,sarov,54.9358,43.3235,62.94,96.0,44.0,5.99,RU,1717451205.0
132,pishin,30.5803,66.9961,75.13,7.0,0.0,3.6,PK,1717451205.0
133,holualoa,19.6228,-155.9522,80.55,76.0,40.0,11.5,US,1717451108.0
134,anadyr,64.75,177.4833,48.7,57.0,0.0,13.42,RU,1717451207.0
135,salina,38.8403,-97.6114,78.04,73.0,75.0,10.36,US,1717451069.0
136,onguday,50.75,86.15,38.7,93.0,46.0,2.82,RU,1717451208.0
137,yangor,,,,,,,,
138,ulan bator,47.9077,106.8832,41.13,75.0,0.0,2.24,MN,1717451209.0
139,ashkasham,36.6833,71.5333,47.52,62.0,36.0,5.64,AF,1717451210.0
140,punta arenas,-53.15,-70.9167,35.71,87.0,0.0,8.05,CL,1717451179.0
141,kenai,60.5544,-151.2583,63.01,53.0,75.0,11.5,US,1717451211.0
142,ust'-kut,56.7938,105.7672,47.44,72.0,100.0,3.0,RU,1717451211.0
143,longyearbyen,78.2186,15.6401,42.64,81.0,75.0,19.57,SJ,1717451128.0
144,namtsy,62.7161,129.6658,59.22,50.0,5.0,13.13,RU,1717451212.0
145,murzuq,25.9155,13.9184,91.69,18.0,84.0,11.61,LY,1717450998.0
146,crane,31.3974,-102.3501,101.86,5.0,46.0,17.6,US,1717451214.0
147,paro,27.4305,89.4133,53.85,93.0,40.0,2.01,BT,1717451214.0
148,thompson,55.7435,-97.8558,60.96,51.0,75.0,6.91,CA,1717450964.0
149,ancud,-41.8697,-73.8203,45.01,93.0,100.0,8.46,CL,1717450969.0
150,katsuura,35.1333,140.3,64.42,78.0,53.0,14.16,JP,1717451216.0
151,lodwar,3.1191,35.5973,90.09,38.0,11.0,6.67,KE,1717451217.0
152,east london,-33.0153,27.9116,56.68,49.0,40.0,13.35,ZA,1717451217.0
153,ketchikan,55.3422,-131.6461,56.34,82.0,100.0,14.97,US,1717450989.0
154,vadso,70.0744,29.7487,52.68,87.0,20.0,3.44,NO,1717451219.0
155,sitka,57.0531,-135.33,51.69,76.0,75.0,4.61,US,1717451219.0
156,novaya mayna,54.15,49.75,64.38,88.0,79.0,4.07,RU,1717451220.0
157,levuka,50.1834,-105.4011,67.82,68.0,100.0,14.97,CA,1717451220.0
158,sishilichengzi,,,,,,,,
